id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,15809838.0,L?,531.0,France,Male,42.0,2.0,0.0,1.0,1.0,0.0,94450.97,1.0
1,15582066.0,Shih,677.0,France,Male,30.0,0.0,0.0,1.0,1.0,1.0,142956.48,0.0
2,15789425.0,Walker,718.0,Spain,Male,26.0,9.0,0.0,2.0,0.0,0.0,158043.11,0.0
3,15690169.0,Milani,602.0,Germany,Female,41.0,5.0,108825.3,1.0,1.0,1.0,126494.82,1.0
4,15583090.0,Macdonald,661.0,France,Female,48.0,2.0,69413.44,1.0,0.0,0.0,113089.57,0.0
5,15598088.0,H?,772.0,Germany,Male,36.0,9.0,122964.88,1.0,0.0,0.0,141558.04,0.0
6,15628034.0,L?,648.0,Germany,Male,31.0,3.0,118098.62,2.0,1.0,1.0,140881.2,0.0
7,15792650.0,Ch'ien,753.0,France,Male,35.0,3.0,0.0,2.0,1.0,1.0,7928.36,0.0
8,15752502.0,Onyemauchechukwu,681.0,France,Male,67.0,3.0,81762.74,1.0,1.0,1.0,145796.49,0.0
9,15630244.0,Chiemela,645.0,Germany,Female,45.0,9.0,107363.4,1.0,1.0,1.0,183569.25,0.0
10,15693337.0,Chiu,535.0,Germany,Female,33.0,3.0,107753.07,1.0,1.0,0.0,126812.63,0.0
11,15749669.0,Mazzanti,619.0,Germany,Male,42.0,5.0,76665.71,2.0,0.0,0.0,179908.71,0.0
12,15651554.0,Golubev,667.0,France,Male,34.0,8.0,0.0,2.0,1.0,1.0,76357.43,0.0
13,15617648.0,Chia,595.0,France,Male,34.0,2.0,0.0,2.0,1.0,0.0,64595.25,0.0
14,15701602.0,L?,824.0,Germany,Female,41.0,9.0,123872.19,3.0,0.0,0.0,170518.83,1.0
15,15654964.0,Dyer,708.0,France,Female,33.0,7.0,0.0,2.0,1.0,0.0,92915.84,0.0
16,15607434.0,O'Donnell,699.0,Germany,Male,50.0,8.0,116954.31,1.0,1.0,0.0,121485.1,1.0
17,15632280.0,Shih,624.0,France,Female,34.0,7.0,0.0,2.0,1.0,1.0,141872.05,0.0
18,15722010.0,Chizoba,745.0,France,Male,38.0,10.0,0.0,2.0,0.0,1.0,167973.63,0.0
19,15700937.0,White,667.0,Germany,Female,25.0,6.0,160761.41,2.0,1.0,1.0,129936.53,0.0
20,15779586.0,Tuan,682.0,Germany,Female,50.0,7.0,117052.82,1.0,1.0,0.0,162643.15,1.0
21,15791925.0,K?,719.0,France,Female,35.0,9.0,0.0,1.0,1.0,1.0,79259.77,0.0
22,15684440.0,Yeh,727.0,Germany,Male,38.0,2.0,123544.0,2.0,0.0,1.0,74320.75,0.0
23,15781495.0,Okwudilichukwu,681.0,France,Female,43.0,1.0,0.0,1.0,1.0,0.0,113079.19,1.0
24,15609562.0,Lai,579.0,France,Male,37.0,4.0,0.0,2.0,1.0,1.0,126469.09,0.0
25,15703793.0,Ugochukwu,591.0,France,Male,25.0,2.0,0.0,1.0,1.0,1.0,125762.95,0.0
26,15631681.0,Kao,705.0,France,Female,35.0,7.0,0.0,2.0,1.0,1.0,185561.89,0.0
27,15777923.0,Ch'eng,678.0,France,Male,38.0,9.0,0.0,2.0,0.0,1.0,141822.66,0.0
28,15687558.0,Ogochukwu,602.0,France,Male,33.0,2.0,0.0,1.0,0.0,0.0,186940.51,0.0
29,15589969.0,Lucchesi,748.0,France,Male,28.0,4.0,0.0,2.0,1.0,0.0,74858.3,0.0
30,15582591.0,Chidiegwu,684.0,Spain,Male,42.0,1.0,0.0,1.0,1.0,1.0,88890.05,0.0
31,15590199.0,Yobachi,738.0,France,Male,36.0,7.0,0.0,2.0,1.0,1.0,156048.64,0.0
32,15689268.0,K?,841.0,Spain,Male,37.0,9.0,0.0,2.0,0.0,1.0,113079.19,0.0
33,15697035.0,P'eng,662.0,France,Female,27.0,3.0,0.0,2.0,1.0,0.0,165082.25,0.0
34,15761453.0,Manna,593.0,Spain,Female,42.0,9.0,0.0,2.0,1.0,1.0,115611.97,0.0
35,15806955.0,Kaur,639.0,France,Male,35.0,2.0,0.0,2.0,1.0,1.0,121537.91,0.0
36,15719294.0,Pisani,554.0,France,Female,35.0,2.0,0.0,2.0,1.0,1.0,27472.07,0.0
37,15743478.0,Chidubem,757.0,France,Male,28.0,8.0,0.0,2.0,1.0,1.0,140941.47,0.0
38,15806796.0,Chiemenam,757.0,France,Female,45.0,3.0,0.0,2.0,1.0,1.0,103421.15,0.0
39,15755722.0,Chinagorom,752.0,France,Female,42.0,8.0,0.0,2.0,1.0,1.0,65464.66,0.0
